,rmse_avg,rmse_std,rmse_avg-std,n_features
2,0.5403584061953633,0.03645036308152802,0.5039080431138353,2
3,0.5306204406386872,0.03678981034429632,0.4938306302943909,3
4,0.5263394468026087,0.034577392224311936,0.49176205457829675,4
5,0.5229714140668464,0.032443213167164815,0.49052820089968163,5
6,0.5210866417786673,0.030138479053930637,0.4909481627247366,6
7,0.5194661177888952,0.028357512964967677,0.4911086048239275,7
8,0.5179017751747113,0.026752967258851068,0.4911488079158602,8
9,0.5168746284708025,0.02546779987125846,0.491406828599544,9
10,0.5157065968506503,0.024207696499452026,0.4914989003511983,10
11,0.5153124928397217,0.023344953012624667,0.491967539827097,11
12,0.5143799892109758,0.022302551695033902,0.4920774375159419,12
13,0.5138232996523597,0.02143640332732772,0.492386896325032,13
14,0.5132894864867763,0.02103489445522061,0.4922545920315557,14
15,0.5129726102760207,0.020013199487418955,0.4929594107886017,15
16,0.5123686665497733,0.01927290692859582,0.49309575962117747,16
17,0.5122163348846841,0.01882663753781095,0.49338969734687316,17
18,0.5116232604542743,0.018205379240392852,0.49341788121388147,18
19,0.511664847755513,0.017602572576195928,0.4940622751793171,19
20,0.5111818975897773,0.017143843874013884,0.49403805371576337,20
21,0.5107577018469227,0.016709695569875355,0.49404800627704737,21
22,0.5108352859578772,0.016258060589602667,0.49457722536827453,22
23,0.5103036172111058,0.01588311775400084,0.494420499457105,23
24,0.5101782531095922,0.01551474303907934,0.49466351007051285,24
25,0.5102274066262533,0.015168549116432402,0.4950588575098209,25
26,0.5097755321850407,0.014775682615524576,0.4949998495695161,26
27,0.5098090503912452,0.014629715011747025,0.4951793353794982,27
28,0.5098149274453914,0.014277358983945946,0.4955375684614454,28
29,0.509565124820949,0.013813356378878278,0.4957517684420707,29
30,0.5094826164365192,0.013687757123751086,0.49579485931276807,30
31,0.5092325892332201,0.013507925656963212,0.4957246635762569,31
32,0.5090950864602687,0.013049033628428977,0.4960460528318397,32
33,0.5092633025848845,0.012965504156844377,0.4962977984280401,33
34,0.5089115607977875,0.012718790185541673,0.49619277061224587,34
35,0.5089508869715488,0.012436277624625229,0.49651460934692354,35
36,0.5087497958106751,0.012306166457879936,0.4964436293527952,36
37,0.508693927616657,0.012025090376183729,0.4966688372404733,37
38,0.5086980501627631,0.011839475198785629,0.4968585749639775,38
39,0.5085007187712249,0.011620335943113732,0.4968803828281112,39
40,0.5084559421064565,0.011471512914456672,0.4969844291919998,40
41,0.5083731381397196,0.011326685334572487,0.49704645280514714,41
42,0.5083798846134081,0.011147400239003038,0.4972324843744051,42
43,0.5083410847740044,0.010952168113352114,0.4973889166606523,43
44,0.5083682142764315,0.010860921784755185,0.49750729249167636,44
45,0.5082847657018701,0.010674097475386071,0.49761066822648403,45
46,0.5080979883949899,0.010427572994477429,0.49767041540051243,46
47,0.5082564230520709,0.01040766373122214,0.4978487593208487,47
48,0.5080129193657427,0.010159090252362352,0.49785382911338033,48
49,0.507972141676083,0.010042597675560642,0.4979295440005223,49
50,0.5081532889236033,0.009953197186609867,0.4982000917369935,50
51,0.5078339869884009,0.00978868984613397,0.4980452971422669,51
52,0.5078587381072696,0.009653290808715359,0.4982054472985542,52
53,0.5078139808652957,0.009529836418497827,0.4982841444467979,53
54,0.5078043891556654,0.009448537742740175,0.4983558514129252,54
55,0.5077851142675056,0.009264620134881699,0.4985204941326239,55
56,0.5076289120164356,0.009245176990040774,0.49838373502639477,56
57,0.5077566664437664,0.009102542178770155,0.4986541242649962,57
58,0.5076640703342551,0.008884228513257212,0.4987798418209979,58
59,0.5077922334980974,0.008856463005771137,0.4989357704923263,59
60,0.5074933914493471,0.008759747525971784,0.4987336439233753,60
61,0.5075308509089157,0.008664433361330664,0.49886641754758504,61
62,0.5076114229228076,0.008593480178767942,0.49901794274403966,62
63,0.5074694982916645,0.008442681334512512,0.499026816957152,63
64,0.5073382522233545,0.00837996128271252,0.498958290940642,64
65,0.5074366234254475,0.008168386077299366,0.4992682373481481,65
66,0.5074194720600733,0.008145260297879642,0.49927421176219366,66
67,0.5073780457641959,0.008047278054031265,0.4993307677101646,67
68,0.507443255804553,0.007932989201831591,0.49951026660272135,68
69,0.5074215770110229,0.007833910612776204,0.49958766639824664,69
70,0.5073669129868476,0.007781495730446286,0.49958541725640127,70
71,0.5073535278157324,0.0077404949303699,0.4996130328853625,71
72,0.507270881970185,0.00763479669015479,0.49963608528003023,72
73,0.5072593489861184,0.00760528776540639,0.499654061220712,73
74,0.5072390857561739,0.007455922231795731,0.4997831635243782,74
75,0.5072401320181169,0.007344366467396251,0.4998957655507207,75
76,0.5071527940683219,0.007358279898081147,0.4997945141702408,76
77,0.5070849495992809,0.007248380118155142,0.4998365694811257,77
78,0.5072249266496177,0.00709142720193801,0.5001334994476797,78
79,0.5070754855933098,0.0070385754713031745,0.5000369101220067,79
80,0.5071457036541144,0.007034419765906363,0.500111283888208,80
81,0.5070997527447212,0.00695434113211771,0.5001454116126035,81
82,0.50717521597314,0.006822167222649742,0.5003530487504902,82
83,0.5070972256561317,0.006760900316033815,0.5003363253400979,83
84,0.507024627140915,0.006710061231069631,0.5003145659098454,84
85,0.507033170276249,0.0066456480441159285,0.500387522232133,85
86,0.5070081219698893,0.006526136214938148,0.5004819857549512,86
87,0.5069075559205783,0.006514483031530464,0.5003930728890479,87
88,0.506906247399522,0.006458413348441909,0.5004478340510801,88
89,0.5070426514750578,0.006380702164571843,0.5006619493104859,89
90,0.5069918026784752,0.006314874678083389,0.5006769280003919,90
91,0.5069182887823552,0.006285735867078228,0.500632552915277,91
92,0.5068744984337098,0.0061537862221510186,0.5007207122115588,92
93,0.5069209419193205,0.006150717922095691,0.5007702239972248,93
