,rmse_avg,rmse_std,n_features
2,0.56339754694261,0.06629339622247683,2
3,0.540085035511946,0.0439367581769418,3
4,0.5342304506747447,0.04531745927190872,4
5,0.5290333636949349,0.04255012131197958,5
6,0.5214061895497056,0.04442052168774648,6
7,0.5184753574895474,0.04198624949670467,7
8,0.5170748688429275,0.040137464799632004,8
9,0.5141473566350981,0.03834802661471546,9
10,0.5113694537009928,0.039616238628695497,10
11,0.5111442402677522,0.036412544538170326,11
12,0.5083967018755837,0.03452235122717328,12
13,0.5071626496609842,0.034964190183598615,13
14,0.5074321994592684,0.03339393833405733,14
15,0.504619882253283,0.032887717902789645,15
16,0.5051053276374676,0.03318171020602469,16
17,0.5024952108267503,0.03199564877160971,17
18,0.5036164762868512,0.03210404494177703,18
19,0.5027470561572335,0.030517570337696996,19
20,0.500487164185528,0.029631301544154543,20
21,0.5004400778109388,0.028483911506659538,21
22,0.4999810258956801,0.027918011717561638,22
23,0.4996307746949106,0.026879409988242384,23
24,0.4992683372004332,0.028064595811123385,24
25,0.499292634870969,0.026745837681630864,25
26,0.498419936724902,0.026526865254309827,26
27,0.4967869682392659,0.026194658308553314,27
28,0.4962819783819018,0.025827121650433264,28
29,0.49617637549022664,0.025203900420978195,29
30,0.4960563910287018,0.02428382380302373,30
31,0.49707137348023345,0.024554240804376282,31
32,0.49463477307947046,0.024476384138514443,32
33,0.49545371203938715,0.024788777178772987,33
34,0.49745060420790377,0.023257440850728957,34
35,0.4957370202214174,0.021968006700889647,35
36,0.4952394243719075,0.022561123910234716,36
37,0.494827448298121,0.023131701032880734,37
38,0.49336234406682644,0.02185011618401109,38
39,0.4941571074244804,0.022651067669688746,39
40,0.49489318410756905,0.022662896827751938,40
41,0.49436168747503656,0.02188935511130337,41
42,0.4937653050427687,0.02183226398596871,42
43,0.4937021134488414,0.022496498146665173,43
44,0.4918026514387943,0.020907623040966137,44
45,0.49349490699857346,0.021006805996708785,45
46,0.49202289410868505,0.02091087522108079,46
47,0.49240965303938494,0.020134843848125087,47
48,0.4929027274251116,0.019742593344496347,48
49,0.4919017284687685,0.019849387608754286,49
50,0.4918989703519199,0.020085498969195426,50
51,0.49151230489963266,0.01934012098067495,51
52,0.49151466451146847,0.019720708263103785,52
53,0.49096643249298993,0.018695213013585843,53
54,0.49189119763817524,0.019838790045498968,54
55,0.49151322573684625,0.018811838248490628,55
56,0.4922197445151197,0.018682616764350252,56
57,0.49089927635637864,0.018426732023631192,57
58,0.4910724863117841,0.0187770262301061,58
59,0.49005984693201904,0.017591566562075316,59
60,0.4900388875671498,0.01840966178180014,60
61,0.4903946555829244,0.018219025851675,61
62,0.4905892266470844,0.01830804472263353,62
63,0.4896406811517927,0.018633729374411243,63
64,0.48972985186249846,0.017636073449403274,64
65,0.49021548368586343,0.01746243968165249,65
66,0.49033699629353883,0.017468868372352807,66
67,0.48963117803435674,0.01771411280395347,67
68,0.48977430930286037,0.017226995390448592,68
69,0.48983201061954684,0.01648103912799589,69
70,0.4893360695955261,0.01666796016416396,70
71,0.4889444569594432,0.01699756678384411,71
72,0.48866272835067975,0.016482965833517348,72
73,0.4901905358451628,0.01648675875658914,73
74,0.48904061533412335,0.016504110058551617,74
75,0.49049896415088684,0.0163973967920608,75
76,0.48905578495927987,0.015861413756921267,76
77,0.4888008755528407,0.016176799103720108,77
78,0.4878544254017387,0.015781880549568847,78
79,0.4891468710902233,0.015807726737990184,79
80,0.4891506944790534,0.01636413070889167,80
81,0.48916313805850864,0.016312184214932662,81
82,0.48839470904056204,0.015567402799337344,82
83,0.4881900707984219,0.0153897754462042,83
84,0.4885471478032381,0.014768619176147139,84
85,0.48855138234929185,0.0153018541778295,85
86,0.48856169415897577,0.015330812459636061,86
87,0.48787774918962007,0.014856160357249423,87
88,0.48824814668197597,0.015249220961001658,88
89,0.4876934470148557,0.014330139457078318,89
90,0.48809826649801985,0.014769928699433853,90
91,0.48799968694786655,0.015161975105564222,91
92,0.4873896509631419,0.014116287991178478,92
93,0.4881755043054311,0.013865721666857561,93
94,0.48789376166957044,0.014382046617148071,94
95,0.48826036980930304,0.01399333954249817,95
96,0.4882838006313666,0.014229181415652924,96
97,0.48797905902828476,0.014508590932452646,97
98,0.4870534794682956,0.013969458540501549,98
99,0.48668275303713926,0.013579764793703427,99
100,0.48732697842382716,0.013780959589089715,100
101,0.48720325228899436,0.013525286357027632,101
102,0.4877704914249981,0.014048167084697317,102
103,0.48784625254512093,0.014032347187430969,103
104,0.4876802227997172,0.013722386202255247,104
105,0.48751751595309417,0.013626575269824064,105
106,0.48752312093615935,0.013772174607860522,106
107,0.4871270418714849,0.013277572634779326,107
108,0.48794557661612564,0.013835027252870391,108
109,0.48624841154094256,0.013861807674904527,109
110,0.4875669991784541,0.013153582995258645,110
111,0.4874183829849256,0.01329428980966711,111
112,0.4873982655080553,0.013335335542391549,112
113,0.4871227411860551,0.012498263906410087,113
114,0.4874880762553237,0.012977251315514339,114
115,0.48642231222585913,0.013228086675222909,115
116,0.48758209153105486,0.012705676655347642,116
117,0.48757034225518964,0.013160454967602864,117
118,0.4864139535900683,0.013076332432612766,118
119,0.4873306518093095,0.012808227400258925,119
120,0.48658360002976875,0.01297447107404603,120
121,0.4873879521824605,0.0127316468755545,121
122,0.48732794518754313,0.012819185701592257,122
123,0.48655467137382413,0.012746760031214468,123
124,0.48664731192792654,0.01208125801580146,124
125,0.48690037709777834,0.012375677852354671,125
126,0.4868498623206084,0.012208489062099993,126
127,0.4865967152397939,0.01207084662123797,127
128,0.48679742813745713,0.012120720032417608,128
129,0.4870909772253135,0.012039353612498466,129
130,0.4866738652804835,0.011741932443855142,130
131,0.48669721350830153,0.012149250232024072,131
132,0.4873168276935175,0.011645403501742804,132
133,0.48651215443748574,0.011933489581503181,133
134,0.48661677295743455,0.011842432989837432,134
135,0.48645891605567987,0.012075779364581426,135
136,0.4869260335678178,0.011804666329490994,136
137,0.4860293769050119,0.011476817889796605,137
138,0.4856955420794081,0.011735097857333891,138
139,0.48628879777434386,0.011693487960863828,139
140,0.48611217654920486,0.011707951556572962,140
141,0.48607005030934,0.011701573395154482,141
142,0.48749797510513737,0.011562329708378508,142
143,0.4859723191437384,0.011535543651039233,143
144,0.4861313587195562,0.011765654432697037,144
145,0.48616438203216417,0.011237238908650336,145
146,0.4861438473572194,0.011819392293800593,146
147,0.48646745450663537,0.011488605577965466,147
148,0.4860090407114601,0.010978692765834179,148
149,0.48638021505383827,0.010857025431337444,149
150,0.48607836441231017,0.011721604196444555,150
151,0.4861681462412839,0.011480489656830838,151
152,0.48547891155057704,0.010923620153336,152
153,0.48590883387570194,0.010884082246369057,153
154,0.4860236679122927,0.011020496106170856,154
155,0.4858331946784302,0.010814557518412095,155
156,0.4857084124498614,0.010666609381799306,156
157,0.48608417172760915,0.011020816950102798,157
158,0.48554881529331306,0.010790264235542833,158
159,0.48524507699724007,0.010794356210845174,159
160,0.48513971116658866,0.010819916796640464,160
161,0.48632544216811124,0.010791508710154763,161
162,0.4863332640461919,0.010554496394284785,162
163,0.4856243150623013,0.0108219173214262,163
164,0.48620730901973663,0.010860586650015063,164
165,0.4858227647894011,0.010309448833443743,165
166,0.48572026655253714,0.01024107749337476,166
167,0.4861775105147058,0.010186000697487053,167
168,0.485585678440895,0.010826803528294876,168
169,0.4858978078794809,0.010561425187379094,169
170,0.4851310028371838,0.010787366598047618,170
171,0.48568996449591695,0.0100200918505325,171
172,0.4858450122651334,0.00989226495576767,172
173,0.4849523958434327,0.009979518873687398,173
174,0.4856981741966592,0.01012369449171461,174
175,0.48518309581955554,0.009909511870170386,175
176,0.4855550428372745,0.010061864620597806,176
177,0.48500917014356515,0.01032035767754814,177
178,0.48588520728051043,0.010194424943828195,178
179,0.48480106554810115,0.009935383087083548,179
180,0.4853540160451812,0.01007501857171181,180
181,0.48511034414885124,0.009932030788982754,181
182,0.48553072357933136,0.009969457831618114,182
183,0.4854752862929903,0.009631675062839367,183
184,0.4855558786055217,0.010052335494369099,184
185,0.48517384790646373,0.009638911431693748,185
186,0.48524168836395315,0.010095103257885107,186
187,0.4855019604227106,0.009976249915304894,187
188,0.4855370268422048,0.009626771395080497,188
189,0.48478483547715323,0.009711524477451383,189
190,0.4856857232056499,0.00974126780332966,190
191,0.4850259295619069,0.00993801158682235,191
192,0.4851962294146606,0.00993951574029255,192
193,0.4845341152741779,0.009712559159370122,193
194,0.4850756142836857,0.009947115125142604,194
195,0.485344398348545,0.009665928627090876,195
196,0.48487618820356654,0.0092618711395912,196
197,0.4850258332796069,0.00949980585573857,197
198,0.48496238104099804,0.00961884603849305,198
199,0.48519677527012944,0.00969584031083607,199
200,0.48498474578612333,0.009493294110529892,200
201,0.4850785272904981,0.00915453545917864,201
202,0.4846858230595365,0.009549714024292803,202
203,0.4850432819883614,0.009536759632070428,203
204,0.4850948761545924,0.00928405368061867,204
205,0.48516369892832933,0.0093884693528728,205
206,0.4852949802919316,0.009401226383035505,206
207,0.48552489902385376,0.009208283218232156,207
208,0.485087290812149,0.009218063866080189,208
209,0.48495776115894695,0.009011821512311025,209
210,0.4850856843181471,0.009362631516662934,210
211,0.485039812341808,0.009077151095220188,211
212,0.4848467517898944,0.009120803654735991,212
213,0.48503638473679445,0.009079943928431708,213
214,0.4851591060239195,0.008766472560851911,214
215,0.48487050397164594,0.00910483571853212,215
216,0.48498716399325026,0.008817057304440178,216
217,0.48526673380624424,0.00937639180052042,217
218,0.4849538940227712,0.008868155771210797,218
219,0.4848658486774227,0.00908492968917693,219
220,0.48473243879507133,0.008807012171891736,220
221,0.484806474127638,0.008768699913492706,221
222,0.4848420112191092,0.009023098709047293,222
223,0.4846705908827073,0.00897354631061067,223
224,0.4845487255172824,0.008746614489303361,224
225,0.48517843396140153,0.008626288760744437,225
226,0.4847064729879482,0.00855960991822236,226
227,0.4848672541945378,0.008741690323249854,227
228,0.4851186018376884,0.008756575318054068,228
229,0.485397468919551,0.00853795106185181,229
230,0.48499691013336327,0.008690790090907065,230
231,0.4849601316817246,0.008420321839572765,231
232,0.48425570404460005,0.008726093734419935,232
233,0.48483008782078996,0.00848878930466012,233
234,0.4847389309230386,0.008745269123813581,234
235,0.4845067401421478,0.008613180526138006,235
236,0.48511426297428945,0.008499073380546996,236
237,0.4846198415716786,0.008458516143272372,237
238,0.48465611366000266,0.008103899993172589,238
239,0.4849940211677452,0.008470013217116018,239
240,0.484653313612964,0.008286957891723921,240
241,0.4851924474733973,0.008335877162174678,241
242,0.4850342688919615,0.008155254425297569,242
243,0.48484612852816233,0.008497615934770782,243
244,0.48477884363299173,0.00818216164321549,244
245,0.4848991348234431,0.008597410285294598,245
246,0.4851223095013249,0.008552301488126753,246
247,0.48447408777669054,0.007903113863023165,247
248,0.4849019253222729,0.008161750384636653,248
249,0.4845505250677743,0.008161776823652227,249
250,0.48520824877605173,0.00819164370812073,250
251,0.48437914199423326,0.008345423745117795,251
252,0.48441263514215316,0.008060459957919498,252
253,0.4847213622783663,0.008004998277897399,253
254,0.484309172795166,0.007774025137278878,254
255,0.4846567011676146,0.00811742471661649,255
256,0.48467269157290405,0.008031639108814152,256
257,0.48465070861709286,0.0078285626084349,257
258,0.4844526360248123,0.008204648468925307,258
259,0.4844769951191117,0.007965723605157321,259
260,0.48482210714852714,0.007609783667202646,260
261,0.48416106217523625,0.008278186784307725,261
262,0.4846816868901542,0.007738230422695449,262
263,0.48438920765125354,0.00785441636390654,263
264,0.4841320637914955,0.007864320035266829,264
265,0.48461535884733653,0.00798854085390713,265
266,0.4846754907166265,0.007631120894003864,266
267,0.484521610501524,0.007585494387489396,267
268,0.48450887811532645,0.0074762228828447515,268
269,0.4846109252034074,0.007752707896673888,269
270,0.4844165140600247,0.007935540053588418,270
271,0.4843633293203175,0.007734431105648875,271
272,0.4843389287949934,0.008001561390130257,272
273,0.4847401055930501,0.007423486103172255,273
274,0.4848121753964526,0.007818415112320324,274
275,0.48462709391995445,0.00746421840244373,275
276,0.48436942462629273,0.007418349051962908,276
277,0.48446618653239193,0.007685226683218749,277
278,0.48457522575603906,0.007523034758605235,278
279,0.4846406911276273,0.00747289666047996,279
280,0.4845337732988039,0.007433106693903489,280
281,0.48429236424477895,0.007029800668834207,281
282,0.48481487900347126,0.0073387218133041,282
283,0.4844516040131755,0.007671819264838458,283
284,0.4841424023096846,0.007594565531942984,284
285,0.48446785118872676,0.007308587221762128,285
286,0.4845403600400311,0.007187774457323816,286
287,0.4844344164727686,0.006981216315097763,287
288,0.4842020382701184,0.007191926905475159,288
289,0.48442099856562254,0.006977868922562952,289
290,0.48438467616358927,0.007292168547393803,290
291,0.4844604541509842,0.00742963489979399,291
292,0.48459276745366264,0.007227661387576407,292
293,0.48442134656845776,0.007292034239868776,293
294,0.48448649907538177,0.007019239942243823,294
295,0.48420184458354426,0.00718289077139221,295
296,0.4846226254324472,0.006890884217932891,296
297,0.48411925659859945,0.007019185429019233,297
298,0.4846065045004799,0.007091213743373141,298
299,0.4843527489614796,0.007195306363752641,299
300,0.48420089146080914,0.007096001352552166,300
301,0.4850396502827907,0.006991992588576173,301
302,0.48449190026404015,0.007119121516374945,302
303,0.4844384867870117,0.00703190810361055,303
304,0.48414491723694003,0.00704349657199181,304
305,0.48400631451133563,0.007004971638575819,305
306,0.4843989337375664,0.0070792159589610085,306
307,0.48405181066353853,0.00692000510320193,307
308,0.4844950472637329,0.006781251656260488,308
309,0.4841625605614136,0.006965324017835301,309
310,0.484114867374392,0.006645973170348302,310
311,0.4847859829790934,0.006850086505992862,311
312,0.4841139543974352,0.006726735720914415,312
313,0.4842954002493649,0.006540088196102475,313
314,0.48428207426233755,0.006723818722649985,314
315,0.48446899208198035,0.006926786580410857,315
316,0.4839464138907133,0.006967714927842145,316
317,0.48409031498702615,0.0064764326103773084,317
318,0.4838293987518007,0.0068631999113486246,318
319,0.48398452790196145,0.0064856279799491105,319
320,0.4837554744016749,0.006803515810590267,320
321,0.4839605458598052,0.006832610443700249,321
322,0.48397548218139064,0.006897354929583641,322
323,0.48404603166597565,0.006751099326262297,323
324,0.48450827192539847,0.006621630369552248,324
325,0.4843518133714919,0.006532095995521785,325
326,0.4842598269378569,0.006520035314587992,326
327,0.4844023373384652,0.006586607028122597,327
328,0.4841838719801538,0.0065702670997518,328
329,0.4839133987236966,0.006432356298047432,329
330,0.4842115929928061,0.006697095596633058,330
331,0.48400374693917037,0.006674331940874403,331
332,0.4837589147714516,0.006578257004050019,332
333,0.48381428906232227,0.006813912634247009,333
334,0.4840508287332739,0.00645224314232885,334
335,0.4841181354631583,0.006378812512158008,335
336,0.48412742181326796,0.00658781329281009,336
337,0.48396349024217516,0.006325496628378566,337
338,0.4836998980707976,0.00651505535139243,338
339,0.4841774173186112,0.006433360444218731,339
340,0.4839424701023377,0.0065867019835517335,340
341,0.4837517231656233,0.006493952656393822,341
342,0.48384378293866653,0.006233098397532161,342
343,0.4840746855142434,0.006436538758032518,343
344,0.4837987233729945,0.006266357046418338,344
345,0.4839637517245102,0.006322401247828407,345
346,0.4840754228837725,0.006372703781956421,346
347,0.48416738095099515,0.006039193974507331,347
348,0.4845454187824041,0.006255186464832777,348
349,0.48381914776426854,0.006210946915289377,349
350,0.4836042264423102,0.00647356322082348,350
351,0.48363790009756724,0.006140647948877615,351
352,0.4841095781290745,0.006242580856193792,352
353,0.48420188103751693,0.006044945535067367,353
354,0.4841922288789788,0.006186730389083821,354
355,0.48406596775659283,0.0063124277517717445,355
356,0.48335821856518546,0.006023937643602221,356
357,0.4838633715294888,0.006046042188755711,357
358,0.484012250897823,0.006134091341313965,358
359,0.4838639401586978,0.006158533448419075,359
360,0.48398242935279545,0.006084193898159248,360
361,0.4838042508705813,0.005886559581238231,361
362,0.4840736664422758,0.005705954516185319,362
363,0.4841445289421016,0.005911580133127055,363
364,0.4839247814046911,0.005909944665968846,364
365,0.48366207794945,0.006055673705927725,365
366,0.4841969475070263,0.006016613915080401,366
367,0.4841506231360595,0.005872380087941183,367
368,0.48380099453057723,0.005919860273003993,368
369,0.4840443102474457,0.006074663317782,369
370,0.4836929224882676,0.005714180821639657,370
371,0.48418319671209453,0.005762558978013144,371
372,0.48384635992606345,0.005937159291727641,372
373,0.48385276578901254,0.00587502707848438,373
374,0.4840557279557367,0.0060724166961905746,374
375,0.48372019546752903,0.006060549736248802,375
376,0.48369189332787427,0.005916128154899487,376
377,0.48402651327374235,0.005819608099802519,377
