matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
0,0,Cc1ccc(C(C)C)cc1,10,C=C(C)[C@H]1CC=C(C)CC1,0.46263346,CCCCCC(=O)O,7,C=C(C)[C@H]1CC=C(C)CC1,0.082423404
0,0,C=C(C)[C@H]1CC=C(C)CC1,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.5529131,C=CCCC(=O)O,16,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.031837847
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,c1ccsc1,0.71832097,C=CCCC(=O)O,16,c1ccsc1,0.015694425
0,0,C=C(C)[C@H]1CC=C(C)CC1,0,C=CCc1ccc(O)c(OC)c1,0.4309062,CC(=O)C(=O)O,13,C=CCc1ccc(O)c(OC)c1,0.027790232
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCOC(C)=O,0.5679162,CC(C)C=O,20,CCCCOC(C)=O,0.06255509
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,c1ccc2[nH]ccc2c1,0.7442595,C=CCCC(=O)O,16,c1ccc2[nH]ccc2c1,0.070543505
0,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,1,CCCCCC=O,0.5916766,CCCCCCCC(=O)OCC,28,CCCCCC=O,0.13223855
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCCC(=O)O,0.65925163,CCCC(=O)OCC,29,CCCCCC(=O)O,0.12082011
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCOC=O,0.4628835,CCCCCC(=O)O,7,CCOC=O,0.07662722
0,0,C=C(C)[C@H]1CC=C(C)CC1,0,OCCc1ccccc1,0.58231205,CCCCCC(=O)O,7,OCCc1ccccc1,0.016396347
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,Cc1ccc(C(C)C)cc1,0.46964413,C=CCCC(=O)O,16,Cc1ccc(C(C)C)cc1,0.12528908
0,0,Cc1ccc(O)cc1,17,CCCCNCCCC,0.6586046,CCCCCCCC(=O)OCC,28,CCCCNCCCC,0.18160015
0,0,C=C(C)[C@H]1CC=C(C)CC1,0,O=C(O)Cc1ccccc1,0.6463897,CCCCCC(=O)O,7,O=C(O)Cc1ccccc1,0.05972033
0,0,Cc1ccc(O)cc1,17,CC(=O)C(=O)O,0.50228405,C=CCCC(=O)O,16,CC(=O)C(=O)O,0.034451913
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCCCOC(=O)CCCCC,0.6497194,CC(C)C=O,20,CCCCCCOC(=O)CCCCC,0.1386622
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCCOC(=O)CCC,0.6579844,CC(C)C=O,20,CCCCCOC(=O)CCC,0.09348447
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,C=CCCC(=O)O,0.6886748,C=CCCC(=O)O,16,C=CCCC(=O)O,0.029097544
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,Cc1ccc(O)cc1,0.525485,C=CCCC(=O)O,16,Cc1ccc(O)cc1,0.050198615
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CC(C)CC(=O)O,0.67965174,CCCC(=O)OCC,29,CC(C)CC(=O)O,0.15160131
0,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCCCCCCC(=O)OCC,0.67576927,C=CCCC(=O)O,16,CCCCCCCCCC(=O)OCC,0.13051724
0,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,1,CC(C)C=O,0.56762743,CCCCCCOC(=O)CCCCC,14,CC(C)C=O,0.20642406
0,0,C=C(C)[C@H]1CC=C(C)CC1,0,CCCC(C)O,0.42727607,CCCCCC(=O)O,7,CCCC(C)O,0.119327195
