smiles,strong_interaction,attn_value
CCCS,1,0.5875021425675677
CCCSCCC,1,0.5755934047876448
CSCCCO,1,0.5488260725
Cc1ccc(C(C)C)c(O)c1,1,0.6115857668085106
CC1=CC(=O)CC(C)(C)C1,1,0.5556648313772455
Cc1cc(O)c(C(C)C)cc1Cl,1,0.5860805106666667
CC12CCC(CC1)C(C)(C)O2,1,0.5269095185714284
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1,0.5238262953846154
C/C=C/c1ccc(OC)c(OC)c1,1,0.52169815
Cc1ccccc1C=O,1,0.5897508173333332
CC(C)=CCC[C@H](C)CCO,1,0.5247415814705884
CC(C)c1ccc(CO)cc1,1,0.6540600433333333
CCCCCCCC(C)O,1,0.50913796
Cc1ccc2ncccc2c1,1,0.5528336507185628
CC(=O)c1ccccn1,1,0.5855553501136364
C#Cc1ccccc1,1,0.5461059737974685
CC1=CC[C@@H](C(C)(C)O)CC1,1,0.5010036
C=C(C)[C@H]1CC=C(C)CC1,1,0.575747972047244
COc1cc(C)ccc1C(C)C,1,0.5596626
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,1,0.6416008518666666
CC(=O)c1ccccc1,1,0.5491451368421053
CSCSC,1,0.624918233181818
CC/C=C1/OC(=O)c2ccccc21,1,0.6996722263636364
OC1CCCCC1,1,0.5140081999999999
O=Cc1ccc(O)cc1,1,0.650986015
CC/C=C1\OC(=O)c2ccccc21,1,0.6680845519444445
Cc1c[nH]c2ccccc12,1,0.531305736304348
CCCCSCCCC,1,0.6051274435179154
C=C[C@](C)(O)CCC=C(C)C,1,0.5623719244444445
CC1=CCC(C(C)C)C=C1,1,0.5281501389189192
c1ccc2[nH]ccc2c1,1,0.5193734704999999
CCOC(=O)c1ccccc1,1,0.50391066
SCc1ccco1,1,0.5483677157894737
c1ccsc1,1,0.5335997336363637
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,0.6512066561420612
C=C1CC[C@H]2C[C@@H]1C2(C)C,1,0.6082363767191601
O=C(O)CSCC(=O)O,1,0.5938333250000001
O=Cc1ccccc1,1,0.6068973011267604
CC(C)=CCC/C(C)=C/CO,1,0.5375746600000002
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,1,0.5988780045977011
CC(C)c1ccc(C=O)cc1,1,0.5906127710638297
CC(=O)Oc1ccc(C)cc1,1,0.539408
CC(C)=CCCC(C)CCO,1,0.5370358333333333
c1ccc(Oc2ccccc2)cc1,1,0.6550455143065693
Cc1ccccc1,1,0.5532467766666667
CSSC,1,0.5339673654838709
O=c1ccc2ccccc2o1,1,0.627466
c1ccc(CSSCc2ccccc2)cc1,1,0.59332343625
c1ccc(COCc2ccccc2)cc1,1,0.55756645
CCC(C)S,1,0.6082060598214286
Cc1ccc(C(C)C)cc1,1,0.5325444441379309
CSSSC,1,0.5902650966003975
CC1=CCC2CC1C2(C)C,1,0.557183116407767
COc1ccccc1OC(=O)Cc1ccccc1,1,0.64020777
CCSSCC,1,0.63033056
CC(C)(O)CCc1ccccc1,1,0.5467040195238095
COC(=O)c1ccccc1,1,0.516019776
Cc1nccnc1C,1,0.5318763
COc1ccc(C=O)cc1,1,0.5851735732727272
O=Cc1ccccc1O,1,0.7180005
Cc1ccc(O)cc1,1,0.5448042237362637
CC(C)CCS,1,0.5994648
CC(=O)c1ccccc1N,1,0.59322974
C1CCSC1,1,0.6223803685227273
O=C(Cc1ccccc1)Cc1ccccc1,1,0.5219489
CCSCC,1,0.5479907941176471
CCOC(C)=O,0,0.18446935000000003
CCCCCCCCCCC=O,0,0.061939046
CCC(=O)OC,0,0.11441310446846846
CC/C=C/CCO,0,0.18246088655172413
CC(O)C(=O)O,0,0.05597151045454546
CCCC(=O)SC,0,0.12688842549999998
CCCCCCCCCCC(=O)O,0,0.029177928000000002
CCOC(=O)C1OC1(C)c1ccccc1,0,0.09048283009090909
CC(C)CC(=O)O,0,0.09715633070588237
