,rmse_avg,rmse_std,nth_feature
0,0.5216678322570522,0.024828356050345834,0
1,0.5207322000072947,0.029337143769854218,1
2,0.521725290822896,0.029611803852470413,2
3,0.5196084547568192,0.029962137897144348,3
4,0.5211743602291368,0.030151817926960808,4
5,0.5215580887869046,0.029991120789656416,5
6,0.5206229918814486,0.02959292228693706,6
7,0.5200717832674061,0.030063171225916473,7
8,0.5182255112498569,0.02852512727810205,8
9,0.5201737056211776,0.02917735175860422,9
10,0.5157115564522878,0.029200519910912208,10
11,0.5173091201860095,0.029188300131848307,11
12,0.5142052829142303,0.02927042235619215,12
13,0.5169268528440918,0.02891187178438531,13
14,0.5207435567565042,0.02815815420920799,14
15,0.5119120074977883,0.027286013655700825,15
16,0.5282612661907429,0.026043263057611066,16
17,0.5050560881370396,0.025555305425422278,17
18,0.5121633296791718,0.027114041139230882,18
19,0.5097221945908686,0.02679202883135564,19
20,0.49736690557362134,0.023365660644561418,20
21,0.507581381658871,0.02748676790384092,21
22,0.5051358700158275,0.026076627480845303,22
23,0.49759737361829715,0.02519126241031571,23
24,0.509022152373319,0.026286482380794073,24
25,0.521534236106829,0.030160711406149215,25
26,0.49919183029286035,0.022075505272924997,26
27,0.49055551990944035,0.021142925010795118,27
28,0.4882272199788645,0.02351094903918123,28
29,0.48721055180148065,0.021163123378170532,29
30,0.5269557041790353,0.02554694286979778,30
31,0.5204282508396914,0.02991798372711431,31
32,0.521805945628284,0.02989305988451507,32
33,0.5277133794829562,0.025123634246310086,33
34,0.519650923117308,0.029920586786487482,34
35,0.5031155145457826,0.02676807121685087,35
36,0.4977921061281277,0.022044074042671995,36
37,0.5216607362480111,0.029432972388112714,37
38,0.5188479270370595,0.029500369751986062,38
39,0.48341548977007953,0.023192060418039367,39
40,0.5185113238847571,0.029195887570533766,40
41,0.4877208191099654,0.023210419201116578,41
42,0.4977653587030938,0.021285320671730584,42
43,0.48737921086535657,0.02355121122626002,43
44,0.5116174431143231,0.023689491596502077,44
45,0.49103903308326674,0.022107946164337314,45
46,0.5106952127049259,0.027580356340793543,46
47,0.5204201283035859,0.029676401651036455,47
48,0.5223173543204173,0.029333887327425034,48
49,0.513333557362801,0.025936341745325855,49
50,0.5131357329969183,0.027906682738017524,50
51,0.5248139873171688,0.026466886341800486,51
52,0.5248505940848022,0.026027707815407662,52
53,0.5231819915458302,0.025412475122799507,53
54,0.5087371380398543,0.02412837366698706,54
55,0.5269531643269467,0.02583224640559896,55
56,0.4876715846932407,0.02281146817624565,56
57,0.5167639804628461,0.026697492158057907,57
58,0.5151051477352158,0.024504143260939824,58
59,0.5178813167102898,0.028429393423570502,59
60,0.5284456231637429,0.02579674540667201,60
61,0.49315859146112345,0.023555454972492413,61
62,0.5262099239528725,0.026746530486222275,62
63,0.5258108161397584,0.026089613608769824,63
64,0.5245180143004576,0.026126101588222553,64
65,0.5207970796070766,0.029552127321333665,65
66,0.5119404371643181,0.027632141918686428,66
67,0.51032156761655,0.02604014446732591,67
68,0.5208902013646045,0.027419406422689453,68
69,0.5232177550441156,0.028890034599063828,69
70,0.5236359759357265,0.0288082221280376,70
71,0.5161641875768112,0.02502865924877556,71
72,0.5080088992378626,0.026011963149619788,72
73,0.5200072139823085,0.029202598459770693,73
